id,round_1,round_5,round_9,round_13,round_17,round_20
0-135626788-8-0.jpeg,1356.1004689977417,1439.100411644207,1442.754851374416,1443.062461323066,1443.0935875075324,1443.096553339329
3-474684593-3-3.jpeg,1309.1620036783909,1421.5730399588701,1426.4936757172961,1426.8802041885474,1426.918840263714,1426.9228331258012
4-57154008-5-0.jpeg,1324.4624202339808,1417.649973809114,1421.9457130028861,1422.399987013469,1422.4749563053954,1422.489057465018
2-34106714-17-0.jpeg,1340.8569800123903,1407.1533541608023,1409.4755332776679,1409.6426980025344,1409.6558502838434,1409.656368009349
4-265055135-4-0.jpeg,1359.6016750037916,1405.7096452403152,1407.1103527927846,1407.2059335665522,1407.2121353495843,1407.2119066441012
4-135775783-10-0.jpeg,1304.7969386297486,1390.940087314956,1394.7021566206902,1395.0654477335904,1395.119735799168,1395.1291934971653
1-11272364-4-3.jpeg,1324.7334729929314,1388.209442317554,1390.3300955386603,1390.4847162155322,1390.4983072316877,1390.4992192405377
2-35571918-21-0.jpeg,1318.9040551019507,1381.9688459750855,1384.06550579863,1384.2257742143838,1384.239706411172,1384.2404312413223
4-394832009-0-0.jpeg,1299.4792665953337,1376.5899219265084,1379.6290344737001,1379.869546812879,1379.8912618974166,1379.8926433254335
4-39659557-1-3.jpeg,1310.185464878187,1374.4650588485881,1376.6677609259232,1376.8314750089323,1376.847929224772,1376.8496012698427
4-38853648-5-3.jpeg,1309.9870035895729,1373.6770405637678,1375.8180071830993,1375.9750998611182,1375.9883085410372,1375.9889764216684
3-237271825-12-0.jpeg,1300.5778012984642,1369.45380260137,1371.9701400018064,1372.1874427157743,1372.2150605778154,1372.2190985655357
0-13038774-0-3.jpeg,1283.5116575171444,1366.4170179895045,1369.106891982198,1369.307807355443,1369.3264525276975,1369.327884973413
2-34408748-1-0.jpeg,1302.9001818554393,1366.1191174940454,1368.1609125795374,1368.3200469009025,1368.3334427435768,1368.3339561255157
4-51178663-6-3.jpeg,1277.81720333313,1364.3854805910244,1367.16986471197,1367.3516570056272,1367.3655777043468,1367.3660635220003
3-237271815-1-0.jpeg,1275.7160707101314,1360.5533610228,1364.454831195612,1364.8470068440038,1364.9072862165183,1364.917972368808
3-58654176-10-0.jpeg,1286.5724608288415,1357.7649593465344,1359.8920558396308,1360.0346539573006,1360.045235057324,1360.0454190869082
1-34292307-8-0.jpeg,1282.8904822984039,1354.8631423119966,1357.8652559355432,1358.1076369322527,1358.1317713332505,1358.1340878288977
4-189030461-4-3.jpeg,1263.724274570905,1352.432046778364,1355.8886051809677,1356.153882973345,1356.1810614634894,1356.1840253445769
2-136954591-4-3.jpeg,1261.7458194981964,1352.331613524789,1355.734149644894,1355.9858018603445,1356.0105453464996,1356.0130152307158
4-40141422-7-3.jpeg,1275.171642299538,1351.93331252897,1355.0499848601567,1355.3278429125107,1355.3638122325222,1355.3691806908575
2-68986495-1-0.jpeg,1286.334220752203,1351.1653147722802,1353.3625281337818,1353.5124494169704,1353.5233575895566,1353.5235371610172
4-96328681-4-0.jpeg,1268.8223274912477,1347.3431246177452,1350.221602036434,1350.4470440197863,1350.4715385782142,1350.4744400383254
1-146590419-46-3.jpeg,1287.8042951855227,1346.542813236879,1348.499894124646,1348.6455130281915,1348.6584605201963,1348.6593147935966
1-74032719-9-0.jpeg,1298.16046984898,1346.5980110706228,1347.8729653480375,1347.967661919937,1347.9745663274184,1347.974410142201
0-230350700-2-3.jpeg,1268.2653162767879,1341.182007046794,1344.0521594019406,1344.2642729054292,1344.2818863167934,1344.2828551807918
4-150906584-6-0.jpeg,1285.7354269228485,1341.0218289629042,1342.7513231688379,1342.872102139726,1342.881170005589,1342.8812895802398
3-164189492-2-0.jpeg,1251.9215336617428,1338.081471809715,1341.7530032789923,1342.0485160934838,1342.0765940285942,1342.0789519469395
0-223700464-5-3.jpeg,1276.0883519504155,1333.3963139848922,1335.580003253682,1335.7577502947095,1335.7744635031722,1335.775622054544
2-51051042-2-0.jpeg,1263.0585459351305,1330.4573917859238,1332.9365161253481,1333.1422706408823,1333.1632632310063,1333.165236613206
1-436404912-17-3.jpeg,1289.8611649385446,1326.599835929421,1327.344095206011,1327.3809991393275,1327.3806321386187,1327.3795519376743
3-96328677-0-3.jpeg,1258.1839856126865,1322.3762002727174,1324.1338622505843,1324.2501313802404,1324.2581139814135,1324.2580227187425
1-265055129-16-3.jpeg,1265.1174871188775,1320.3868170926564,1322.1589222340608,1322.2926615914557,1322.3036330449809,1322.3039939627488
4-135626769-14-3.jpeg,1227.0034676200507,1313.262378945829,1316.5767286394562,1316.8345766231898,1316.859533834521,1316.8618013194348
